TransactionID,Amount,CountryRisk,TransactionType,CustomerType,AccountAgeMonths,HasPriorSAR,RelatedPartiesCount,TransactionLocation,PurposeKnown,TransactionPattern,NarrativeRiskTerms,IsFraud
1,15895,7,wire,non-profit,111,0,1,domestic,1,structuring,shell company,1
2,960,9,card,non-profit,5,0,1,domestic,1,normal,third-party involvement,0
3,76920,3,ACH,non-profit,103,1,1,domestic,1,normal,third-party involvement,0
4,54986,10,wire,retail,18,0,1,domestic,1,structuring,third-party involvement,0
5,6365,3,cash,foreign,38,0,3,domestic,0,structuring,shell company,0
6,82486,7,cash,business,118,1,2,foreign,1,frequent small,cash-heavy,0
7,37294,4,crypto,non-profit,117,0,5,domestic,1,round figures,third-party involvement,0
8,87598,8,card,retail,37,0,2,domestic,1,normal,cash-heavy,0
9,44231,7,crypto,retail,94,0,2,domestic,0,normal,unusual pattern,0
10,60363,5,crypto,business,115,0,4,domestic,1,round figures,third-party involvement,0
11,16123,7,crypto,non-profit,95,0,1,domestic,0,round figures,unusual pattern,0
12,41190,3,cash,retail,64,0,3,domestic,1,normal,shell company,0
13,67321,2,cash,business,10,0,1,domestic,0,structuring,,0
14,64920,6,crypto,foreign,79,0,1,domestic,1,structuring,shell company,0
15,869,2,cash,foreign,42,0,2,domestic,1,round figures,shell company,0
16,59835,3,card,foreign,48,0,4,domestic,0,normal,shell company,0
17,63055,6,crypto,non-profit,44,0,1,domestic,0,round figures,third-party involvement,0
18,65025,5,cash,business,82,0,5,domestic,1,structuring,unusual pattern,0
19,68069,8,wire,business,87,0,5,foreign,1,frequent small,third-party involvement,0
20,5411,9,crypto,retail,97,0,1,domestic,1,frequent small,,0
21,83204,3,crypto,retail,16,0,2,domestic,1,structuring,shell company,0
22,53807,10,card,retail,54,0,2,foreign,1,round figures,cash-heavy,0
23,85405,3,ACH,business,102,0,3,domestic,0,frequent small,,0
24,28793,3,ACH,retail,35,0,4,domestic,1,structuring,unusual pattern,0
25,72032,6,card,business,98,0,2,domestic,1,normal,,0
26,93116,1,card,business,28,0,3,domestic,1,round figures,third-party involvement,0
27,25758,7,card,foreign,2,0,5,domestic,1,round figures,cash-heavy,0
28,84578,1,ACH,retail,94,0,5,foreign,1,frequent small,third-party involvement,1
29,18531,5,card,foreign,13,1,5,domestic,1,round figures,shell company,1
30,2847,10,cash,non-profit,41,0,1,domestic,1,frequent small,shell company,1
31,59250,8,crypto,non-profit,80,0,4,domestic,1,frequent small,,0
32,65825,4,crypto,non-profit,59,0,3,foreign,1,structuring,shell company,0
33,84754,5,wire,business,69,0,4,domestic,0,frequent small,shell company,0
34,35873,4,wire,business,119,0,1,domestic,0,normal,unusual pattern,0
35,67535,4,crypto,business,92,0,3,domestic,1,round figures,unusual pattern,0
36,56986,8,cash,retail,53,0,3,domestic,1,frequent small,third-party involvement,0
37,66903,2,ACH,foreign,103,1,2,foreign,1,round figures,third-party involvement,0
38,31651,1,ACH,business,45,1,4,domestic,1,frequent small,unusual pattern,0
39,11494,3,cash,foreign,20,0,4,domestic,1,structuring,,1
40,69192,9,ACH,foreign,24,0,2,domestic,1,normal,unusual pattern,0
41,3990,4,card,foreign,61,0,5,domestic,1,round figures,third-party involvement,0
42,41706,10,crypto,retail,91,0,1,domestic,1,structuring,cash-heavy,1
43,96376,5,crypto,retail,94,0,4,domestic,1,round figures,shell company,0
44,80138,2,cash,non-profit,58,0,2,domestic,0,structuring,cash-heavy,1
45,87413,4,ACH,non-profit,109,0,3,domestic,1,normal,cash-heavy,0
46,10727,2,wire,foreign,27,0,2,foreign,0,frequent small,shell company,0
47,8892,2,wire,non-profit,26,0,5,domestic,1,structuring,unusual pattern,0
48,74069,4,ACH,foreign,7,0,1,foreign,1,round figures,,0
49,43101,6,wire,retail,42,0,5,domestic,1,round figures,cash-heavy,0
50,76652,7,cash,retail,47,0,3,domestic,1,structuring,,0
51,23997,10,cash,retail,53,0,3,domestic,1,normal,third-party involvement,0
52,68248,3,ACH,business,59,0,3,domestic,1,normal,cash-heavy,0
53,23583,3,wire,foreign,38,0,3,domestic,1,frequent small,third-party involvement,0
54,48655,10,cash,retail,69,0,2,domestic,1,frequent small,unusual pattern,0
55,17259,6,cash,foreign,87,0,3,domestic,0,round figures,cash-heavy,0
56,80177,3,card,non-profit,92,0,3,foreign,1,round figures,third-party involvement,0
57,36020,2,card,non-profit,98,0,2,domestic,1,frequent small,third-party involvement,0
58,92167,8,cash,retail,53,0,3,domestic,1,frequent small,unusual pattern,0
59,67221,5,ACH,foreign,15,0,5,domestic,1,frequent small,,0
60,69579,1,crypto,retail,96,0,5,domestic,1,structuring,,1
61,89575,3,crypto,non-profit,26,0,4,domestic,1,frequent small,cash-heavy,0
62,19557,10,cash,retail,48,0,5,domestic,1,structuring,unusual pattern,1
63,66657,8,cash,foreign,95,0,1,domestic,1,structuring,cash-heavy,0
64,77289,4,cash,non-profit,19,0,1,domestic,1,frequent small,,0
65,79053,7,ACH,business,9,0,1,domestic,1,normal,unusual pattern,0
66,53095,10,card,non-profit,64,0,2,domestic,0,normal,shell company,0
67,40857,2,cash,business,93,0,5,domestic,1,round figures,unusual pattern,0
68,9792,7,cash,retail,54,0,1,domestic,1,frequent small,unusual pattern,0
69,45858,5,wire,retail,51,0,4,foreign,0,round figures,shell company,0
70,72509,5,ACH,foreign,39,0,2,foreign,1,frequent small,third-party involvement,0
71,71311,6,cash,business,4,1,4,domestic,1,round figures,third-party involvement,0
72,65797,9,wire,retail,3,0,5,domestic,1,structuring,third-party involvement,0
73,37165,6,crypto,business,64,0,3,domestic,1,frequent small,,0
74,92193,8,cash,retail,29,0,4,foreign,0,normal,unusual pattern,0
75,99399,7,cash,non-profit,116,0,3,domestic,1,frequent small,shell company,1
76,32706,9,wire,retail,11,0,2,domestic,1,round figures,,0
77,11634,4,ACH,foreign,97,0,4,foreign,1,round figures,shell company,0
78,94763,2,cash,non-profit,102,0,4,domestic,0,round figures,,0
79,40497,7,crypto,foreign,58,0,2,domestic,1,round figures,,0
80,91487,6,cash,non-profit,75,0,2,foreign,1,round figures,,0
81,1116,1,crypto,business,27,0,1,domestic,0,round figures,shell company,0
82,89889,9,card,foreign,97,0,5,foreign,1,normal,cash-heavy,0
83,55691,9,card,retail,21,0,4,domestic,1,round figures,,0
84,89912,2,crypto,business,39,0,4,foreign,1,normal,third-party involvement,0
85,23347,3,ACH,retail,95,0,2,domestic,1,frequent small,unusual pattern,0
86,24400,5,cash,non-profit,102,0,2,foreign,1,structuring,cash-heavy,0
87,74165,5,cash,non-profit,46,0,5,domestic,1,normal,cash-heavy,1
88,82898,1,card,retail,66,0,2,domestic,1,frequent small,shell company,1
89,9368,8,crypto,retail,91,0,3,domestic,1,structuring,cash-heavy,0
90,86907,8,cash,business,36,0,3,domestic,1,normal,shell company,0
91,12285,4,cash,retail,75,0,3,domestic,1,normal,shell company,0
92,63804,7,ACH,foreign,111,0,3,domestic,1,frequent small,third-party involvement,0
93,86879,10,wire,foreign,82,0,5,domestic,0,round figures,,0
94,39199,3,card,retail,65,0,4,domestic,1,normal,cash-heavy,1
95,8671,6,card,foreign,63,0,3,domestic,0,normal,,0
96,38144,10,wire,retail,99,0,2,foreign,1,frequent small,,0
97,51314,10,cash,business,35,0,3,domestic,1,round figures,,1
98,61328,9,ACH,foreign,31,0,5,domestic,1,structuring,shell company,0
99,49084,1,ACH,foreign,28,0,2,domestic,1,round figures,,1
